group,cond,mu_lo,mu_hi,lo_min,lo_max,hi_min,hi_max,w_hi,mean_y,n,hi_weak,lo_weak,min_nhi
PMA: naive / acute,50,0.48487428426304013,1.7760508879543693,0.2503476120847507,0.7194009564413295,1.6344103039879632,1.9176914719207756,0.29118768197338574,0.8660848246462982,2,True,False,7.334175355058539
PMA: naive / chronic,.08,0.2490996888491328,2.2106083583524683,0.1853656869644059,0.3128336907338597,2.1735161355981725,2.2477005811067645,0.3783607510351449,0.9975948436460289,2,False,False,16.256537007052152
PMA: naive / chronic,.4,0.23957374197621933,2.350253554933823,0.1499731573011264,0.3291743266513123,2.3052187888897446,2.3952883209779015,0.5374947400870342,1.3901124853822173,2,False,False,24.115444756879935
PMA: naive / chronic,0,0.35045155658594407,2.572146483789899,0.3107294779856222,0.3901736351862659,2.338859454435799,2.805433513143999,0.17754384824076905,0.7513923804045892,2,True,False,4.997075987187283
PMA: naive / chronic,2,0.1746022096620011,2.194467454078211,-0.024458824346161,0.3736632436701632,2.1840470899212217,2.2048878182352003,0.4974232868831579,1.2254325137789497,2,False,False,17.08599163225487
density: 24h prior,1E6,1.1662610432817075,2.4355282626253443,1.133809064444034,1.1987130221193811,2.404775838236436,2.466280687014252,0.8199434514297838,2.226509898142548,2,False,False,222.72919695573603
density: 24h prior,25E4,0.49957166893045857,2.333822617079126,0.2546954505031279,0.7444478873577892,2.2846744894650732,2.3829707446931794,0.7413374583259366,1.8471710931885306,2,False,False,63.50042008866919
density: 24h prior,5E5,0.894711706569082,2.3371742110501303,0.7759487122990181,1.013474700839146,2.3296171233532834,2.3447312987469777,0.8459455112280707,2.1325517077800566,2,False,False,171.84176246808454
density: 24h prior,PMA,0.5015327397911906,1.6420519008196757,0.4881219756589492,0.5149435039234319,1.636565863676973,1.6475379379623782,0.3154446107779777,0.8651832513375421,2,False,False,39.46912510124288
density: in-assay,1E6,0.26645495792896323,2.091753288544097,0.0164337977173531,0.5164761181405734,2.0104093077832355,2.1730972693049586,0.6576621686377293,1.5064858182129552,2,False,False,80.93508859320106
density: in-assay,25E4,0.3628605697654557,2.1499436195522628,-0.1287170253252443,0.8544381648561558,2.024397927785645,2.2754893113188803,0.5303857550387264,1.3414734705491393,2,False,False,25.76438695998486
density: in-assay,5E5,0.24660805051827936,2.094305229014733,0.0637683984570958,0.4294477025794629,2.001510093240198,2.1871003647892677,0.5713530644046877,1.3182526198086837,2,False,False,27.42729970667097
density: in-assay,PMA,0.8178995061605842,1.5557919592235119,0.3609725875577747,1.2748264247633936,1.2748508829369591,1.8367330355100648,0.44084041325771856,1.2327782640945644,2,False,False,23.25289647126401
dox: 239,500,0.5431904587851348,2.0554888892606296,0.3551955215258506,0.9652522313598718,1.8128325683629696,2.3200507950523255,0.6191991778941369,1.534576476903081,6,False,False,14.668386084239629
dox: 239,PMA,0.5581307221534579,1.5204343747304816,0.1278317842029165,0.9579265165600764,1.3186738498591817,1.8246817095059709,0.556520356429391,1.1170944964647718,5,False,False,16.33737159868624
dox: 239,untr.,0.9580678005448627,2.2111089552162064,0.5826339574319349,1.2036567949165022,2.003311007673023,2.334372667370366,0.7158287720231967,1.870801058783859,5,False,True,22.936274556305655
dox: 240,100,0.2519111149362035,2.1763562726176513,-0.0497777999918507,0.4608526921598486,1.9226888645299216,2.4143814820924185,0.49955639332107155,1.2494146652335554,6,False,False,11.41559502923416
dox: 240,20,0.21729826025103188,2.147515389396984,0.0843988658441916,0.4824263545492711,1.9752785944314248,2.5014809861026075,0.6039153526292799,1.4548696357896453,5,False,False,12.471434474973714
dox: 240,500,0.5137122864312506,2.151712874140694,-0.042213464902789,0.8614675206516564,1.8336002050859572,2.3288584948270987,0.5548569757106555,1.4945416246905043,6,False,True,17.09173281397423
dox: 240,untr.,0.366800975082596,2.190740303432156,0.2322016512522276,0.7475294751870561,2.0178351994679233,2.4973638794098747,0.5616482589006047,1.460865468987252,6,False,False,10.046279989835217
dox: 255,100,0.452592333810062,2.181449954072456,-0.0365701534369485,0.8595920805892546,1.9164219588612088,2.4399390692689917,0.681621132768409,1.6734020982713131,6,False,True,13.22583020462359
dox: 255,20,0.3782010649244302,2.1945142395905655,-0.0190627174468601,0.6178954141269741,2.0631791600967713,2.268366400371354,0.7649368354355072,1.8136130403900523,5,False,False,23.088169786229383
dox: 255,500,0.8437637989216666,2.278513720743716,-0.103155180991712,1.4228391598738548,1.9357463041951977,2.625699433542137,0.5277682369204124,1.7127064908183023,5,False,True,10.445478275836775
dox: 255,untr.,0.40665600587067496,2.1467147772119217,-0.0670967900097597,0.9126363039996414,1.96952061070933,2.3776347227857544,0.6587459223899181,1.597334552336195,5,False,True,15.786997198432733
dox: 257,100,0.43300001741947564,2.0316530560640387,-0.1037006182277043,0.7081728238742663,1.5538737149163366,2.353436327269531,0.638305703348489,1.4798044600408675,6,False,True,20.639863162350046
dox: 257,20,0.19172611160773587,2.2337982259032656,-0.4391221627424543,0.6141856124425309,2.0733592629133133,2.441343454179049,0.6922403432177248,1.6466467613656286,6,False,True,16.38242996983117
dox: 257,500,0.4932466600342784,2.0761833789951347,-0.188702571863992,1.0414352301574652,1.8121354830678504,2.3022714893458973,0.6610723665723016,1.6185374190139907,5,False,True,17.18748247602339
dox: 257,untr.,0.32924337022929884,2.1683908995012486,-0.1787023132264389,0.7347501299581662,1.9277260659271716,2.4228574143211548,0.6668044388823223,1.6238075579221896,6,False,True,11.41753958676734
