dataset,channel,activation,treatment,dose_label,construct,run,replicate,well,lag_sec,density_plated,n_cells,mu_lo,mu_hi,w_hi,sep,ll,n_lo_eff,n_hi_eff,mean_y,med_y,thr_frac,sigma_bio,converged,weak_low,weak_high,weak_sep,note,sigma_unstable,dose_num,pma_units,arm
dox,GFP,activated,run1,20,257,run1,3,run1_257_20_r3,600.0,,38,0.520847179921363,2.0919757199844797,0.5685020148199642,1.5711285400631168,-45.67041861146321,16.396920288576577,21.603079711423423,1.44730367954244,1.5755568493707377,0.5526315789473685,0.30947326629309,True,False,False,False,,False,20.0,,dox|activated|run1
dox,GFP,activated,run1,500,257,run1,1,run1_257_500_r1,600.0,,36,-0.0224556812250103,1.8488946318762156,0.6905269789968921,1.871350313101226,-50.331602761126994,11.141027448633473,24.858972551366524,1.3935807538169924,1.548178186032864,0.5555555555555556,0.30947326629309,True,False,False,False,,False,500.0,,dox|activated|run1
dox,GFP,activated,run1,500,257,run1,2,run1_257_500_r2,600.0,,28,-0.188702571863992,1.8121354830678504,0.6840072586516157,2.000838054931842,-33.52103738103301,8.847796681803764,19.152203318196232,1.2466497971011083,1.3981803488173308,0.5,0.30947326629309,True,False,False,False,,False,500.0,,dox|activated|run1
dox,GFP,activated,run1,500,257,run1,3,run1_257_500_r3,600.0,,47,0.9317806278611472,2.156572086397909,0.6969213556191484,1.2247914585367616,-47.67360109276036,14.24469085354156,32.75530914645844,1.842090680775874,2.021102621778049,0.723404255319149,0.30947326629309,True,False,False,False,,False,500.0,,dox|activated|run1
dox,GFP,activated,run1,untreated,257,run1,1,run1_257_untreated_r1,600.0,,61,-0.1787023132264389,2.1533808964185703,0.7516660647816933,2.3320832096450093,-72.14130990799892,15.148369985860224,45.85163001413978,1.6133436244264798,1.9120541396155208,0.7049180327868853,0.30947326629309,True,False,False,False,,False,0.0,,dox|activated|run1
dox,GFP,activated,run1,untreated,257,run1,2,run1_257_untreated_r2,600.0,,88,0.1158189065209205,1.9277260659271716,0.608406202097434,1.811907159406251,-98.31613567285956,34.460254020881855,53.53974597911814,1.266209039014098,1.41868379427583,0.5340909090909091,0.30947326629309,True,False,False,False,,False,0.0,,dox|activated|run1
dox,GFP,activated,run1,untreated,257,run1,3,run1_257_untreated_r3,600.0,,31,0.7347501299581662,2.261444800497496,0.368307752828849,1.5266946705393296,-32.7386604058667,19.582460413232653,11.41753958676734,1.2998601098677935,0.9261283765047902,0.4193548387096774,0.30947326629309,True,False,False,False,,False,0.0,,dox|activated|run1
dox,GFP,activated,run2,500,239,run2,1,run2_239_500_r1,600.0,,51,0.6041037099674882,1.8128325683629696,0.5971217265353631,1.2087288583954816,-55.25781184320516,20.546782556134115,30.45321744386588,1.3597375559098706,1.3781221756873476,0.4901960784313725,0.30947326629309,True,False,False,False,,False,500.0,,dox|activated|run2
dox,GFP,activated,run2,500,239,run2,2,run2_239_500_r2,600.0,,44,0.3595054203620795,2.2210237237332757,0.6698132089458065,1.861518303371196,-54.69449350027702,14.528216781053937,29.471783218946065,1.6137759555481528,2.0882753654330974,0.6136363636363636,0.30947326629309,True,False,False,False,,False,500.0,,dox|activated|run2
dox,GFP,activated,run2,500,239,run2,3,run2_239_500_r3,600.0,,27,0.9652522313598718,2.3200507950523255,0.5432734194707022,1.3547985636924538,-29.61505457524351,12.331613915760371,14.668386084239629,1.734397498076767,1.7262340412625086,0.6296296296296297,0.30947326629309,True,False,False,False,,False,500.0,,dox|activated|run2
