dataset,well,n_used,n_raw,frac_dropped,med_pairs,med_y,treatment,dose_label,arm
pma,Naive_PMA_chron_NoPMA_rep2,55,55,0.0,17.0,0.3842619153115104,chronic,NoPMA,untreated
dox,run1_239_500_r1,57,57,0.0,7.0,1.5065035982245865,run1,500,dox
dox,run1_239_500_r2,43,43,0.0,5.0,1.6956365188561446,run1,500,dox
dox,run1_239_500_r3,94,94,0.0,6.5,1.4255350669511875,run1,500,dox
dox,run1_239_PMA_r1,65,65,0.0,11.0,1.108612816304095,run1,PMA,PMA ctrl
dox,run1_239_PMA_r3,67,67,0.0,14.0,0.8645895631206426,run1,PMA,PMA ctrl
dox,run1_239_untreated_r1,63,63,0.0,7.0,1.4601699519857838,run1,untreated,untreated
dox,run1_239_untreated_r2,216,216,0.0,6.0,1.8998056504944358,run1,untreated,untreated
dox,run1_239_untreated_r3,309,309,0.0,7.0,2.2507649838011368,run1,untreated,untreated
dox,run1_240_100_r1,100,100,0.0,8.5,1.349362062550462,run1,100,dox
dox,run1_240_100_r2,99,99,0.0,9.0,1.064089702936251,run1,100,dox
dox,run1_240_100_r3,31,31,0.0,13.0,0.4903950812539415,run1,100,dox
dox,run1_240_20_r1,60,60,0.0,8.0,1.674123534535136,run1,20,dox
dox,run1_240_20_r2,67,67,0.0,7.0,1.950826345262052,run1,20,dox
dox,run1_240_20_r3,45,45,0.0,4.0,2.030446179707595,run1,20,dox
dox,run1_240_500_r1,77,77,0.0,3.0,1.906622177206711,run1,500,dox
dox,run1_240_500_r2,47,47,0.0,9.0,1.2947230863230446,run1,500,dox
dox,run1_240_500_r3,39,39,0.0,9.0,1.323617595040919,run1,500,dox
dox,run1_240_untreated_r1,65,65,0.0,7.0,1.818516202741714,run1,untreated,untreated
dox,run1_240_untreated_r2,34,34,0.0,6.5,1.8437323115328104,run1,untreated,untreated
dox,run1_240_untreated_r3,26,26,0.0,9.0,1.6040744502135813,run1,untreated,untreated
dox,run1_255_100_r1,52,52,0.0,8.0,1.9243535483053016,run1,100,dox
dox,run1_255_100_r2,32,32,0.0,4.5,2.0839511171828002,run1,100,dox
dox,run1_255_100_r3,38,38,0.0,4.0,2.234909118761,run1,100,dox
dox,run1_255_20_r1,80,80,0.0,5.0,2.000210759983477,run1,20,dox
dox,run1_255_20_r2,45,45,0.0,4.0,1.9115018559763235,run1,20,dox
dox,run1_255_20_r3,56,56,0.0,5.0,2.102412703401258,run1,20,dox
dox,run1_255_500_r1,30,30,0.0,7.0,1.0674411102061665,run1,500,dox
dox,run1_255_500_r2,26,26,0.0,6.0,2.3316813367471756,run1,500,dox
dox,run1_255_500_r3,32,32,0.0,6.0,1.9289793850988504,run1,500,dox
dox,run1_255_untreated_r1,30,30,0.0,8.0,1.0755051454845512,run1,untreated,untreated
dox,run1_255_untreated_r2,68,68,0.0,7.5,1.6954361209506599,run1,untreated,untreated
dox,run1_255_untreated_r3,36,36,0.0,4.5,1.7194450427942767,run1,untreated,untreated
dox,run1_257_100_r1,111,111,0.0,6.0,1.828547909811289,run1,100,dox
dox,run1_257_100_r2,44,44,0.0,6.0,1.4911829770998244,run1,100,dox
dox,run1_257_100_r3,37,37,0.0,10.0,1.734230399847366,run1,100,dox
dox,run1_257_20_r1,66,66,0.0,4.0,2.1013782241514085,run1,20,dox
dox,run1_257_20_r2,51,51,0.0,7.0,1.5681213167766974,run1,20,dox
dox,run1_257_20_r3,38,38,0.0,8.0,1.5755568493707375,run1,20,dox
dox,run1_257_500_r1,36,36,0.0,5.5,1.548178186032864,run1,500,dox
dox,run1_257_500_r2,28,28,0.0,6.0,1.3981803488173308,run1,500,dox
dox,run1_257_500_r3,47,47,0.0,4.0,2.021102621778049,run1,500,dox
dox,run1_257_untreated_r1,61,61,0.0,4.0,1.9120541396155208,run1,untreated,untreated
dox,run1_257_untreated_r2,88,88,0.0,8.0,1.4186837942758301,run1,untreated,untreated
dox,run1_257_untreated_r3,31,31,0.0,17.0,0.9261283765047902,run1,untreated,untreated
dox,run2_239_500_r1,51,51,0.0,15.0,1.3781221756873476,run2,500,dox
dox,run2_239_500_r2,44,44,0.0,7.5,2.0882753654330974,run2,500,dox
dox,run2_239_500_r3,27,27,0.0,6.0,1.7262340412625086,run2,500,dox
dox,run2_239_PMA_r1,45,45,0.0,14.0,1.306189098643192,run2,PMA,PMA ctrl
dox,run2_239_PMA_r2,27,27,0.0,18.0,1.103794114127438,run2,PMA,PMA ctrl
dox,run2_239_PMA_r3,48,48,0.0,8.5,1.3574141005468037,run2,PMA,PMA ctrl
dox,run2_239_untreated_r1,59,59,0.0,6.0,2.024680841501219,run2,untreated,untreated
dox,run2_239_untreated_r2,17,17,0.0,9.0,1.8676861874267217,run2,untreated,untreated
dox,run2_239_untreated_r3,32,32,0.0,5.5,2.2286614887526626,run2,untreated,untreated
dox,run2_240_100_r1,33,33,0.0,8.0,0.917148043651323,run2,100,dox
dox,run2_240_100_r2,34,34,0.0,4.0,1.5832310721567242,run2,100,dox
dox,run2_240_100_r3,38,38,0.0,6.0,1.2652049753073267,run2,100,dox
dox,run2_240_20_r1,29,29,0.0,12.0,0.743860496754895,run2,20,dox
dox,run2_240_20_r2,44,44,0.0,11.5,1.5748194270671578,run2,20,dox
dox,run2_240_20_r3,21,21,0.0,7.0,1.4358525225341052,run2,20,dox
dox,run2_240_500_r1,51,51,0.0,6.0,1.3144835366419934,run2,500,dox
dox,run2_240_500_r2,36,36,0.0,9.0,1.524900448466068,run2,500,dox
dox,run2_240_500_r3,26,26,0.0,6.5,1.8227116867538777,run2,500,dox
dox,run2_240_untreated_r1,72,72,0.0,9.0,1.8045439802933327,run2,untreated,untreated
dox,run2_240_untreated_r2,30,30,0.0,8.0,1.353030100564883,run2,untreated,untreated
dox,run2_240_untreated_r3,26,26,0.0,12.5,1.1578895001728773,run2,untreated,untreated
dox,run2_255_100_r1,33,33,0.0,7.0,1.6368255489447114,run2,100,dox
dox,run2_255_100_r2,37,37,0.0,13.0,1.498947923927315,run2,100,dox
dox,run2_255_100_r3,25,25,0.0,4.0,1.6237902901400556,run2,100,dox
dox,run2_255_20_r1,20,20,0.0,6.5,1.4886955872712573,run2,20,dox
dox,run2_255_20_r2,55,55,0.0,5.0,2.243111917560971,run2,20,dox
dox,run2_255_20_r3,35,35,0.0,5.0,1.877890443193049,run2,20,dox
dox,run2_255_500_r1,42,42,0.0,5.0,1.6641079321568555,run2,500,dox
dox,run2_255_500_r2,25,25,0.0,6.0,1.7495840559333191,run2,500,dox
dox,run2_255_500_r3,21,21,0.0,6.0,1.8420478295190943,run2,500,dox
dox,run2_255_untreated_r1,56,56,0.0,4.0,2.036363291151763,run2,untreated,untreated
dox,run2_255_untreated_r2,24,24,0.0,7.5,1.7456695312836201,run2,untreated,untreated
dox,run2_255_untreated_r3,37,37,0.0,4.0,2.281174277405416,run2,untreated,untreated
dox,run2_257_100_r1,271,271,0.0,10.0,1.4361222482282925,run2,100,dox
dox,run2_257_100_r2,37,37,0.0,5.0,1.9120073217942433,run2,100,dox
dox,run2_257_100_r3,34,34,0.0,4.0,1.9114718426208392,run2,100,dox
dox,run2_257_20_r1,27,27,0.0,5.0,2.200775077014553,run2,20,dox
dox,run2_257_20_r2,26,26,0.0,8.5,1.4464212083313783,run2,20,dox
dox,run2_257_20_r3,44,44,0.0,3.0,2.5027293680728064,run2,20,dox
dox,run2_257_500_r1,23,23,0.0,8.0,1.5246401149817106,run2,500,dox
dox,run2_257_500_r2,31,31,0.0,5.0,1.835458166290582,run2,500,dox
dox,run2_257_500_r3,33,33,0.0,4.0,2.0026773011101633,run2,500,dox
dox,run2_257_untreated_r1,51,51,0.0,5.0,1.8674721467408983,run2,untreated,untreated
dox,run2_257_untreated_r2,40,40,0.0,5.0,2.294671610475149,run2,untreated,untreated
dox,run2_257_untreated_r3,35,35,0.0,8.0,1.8376998489796017,run2,untreated,untreated
